Age,init.N,M,wt.age.pop,wt.age.catch,mat.1,mat.2,mat.pan,mat.GB,fish.sel,sur.sel,fish.sel_GB,fish.caa.err,sur.caa.err
1,3125000,0.226,0.101,0.101,0.32,0,0.106666667,0,0,0,0,0.329242,0.329242
2,2492869.1,0.226,0.273,0.273,0.79,0.41,0.536666667,0.12,0.12,0.35,0.12,0.329242,0.329242
3,1988606.8,0.226,0.377,0.377,0.88,0.69,0.753333333,0.54,0.54,0.61,0.54,0.346917,0.346917
4,1586347.6,0.226,0.473,0.473,0.94,0.84,0.873333333,0.71,0.66,0.64,0.71,0.368632,0.368632
5,1265458.2,0.226,0.545,0.545,0.98,0.98,0.98,0.87,0.81,0.66,0.87,0.395312,0.395312
6,1009478.9,0.226,0.622,0.622,1,1,1,1,1,1,1,0.42809,0.42809
7,805279.6,0.226,0.674,0.674,1,1,1,1,1,1,1,0.468362,0.468362
8,642386.1,0.226,0.754,0.754,1,1,1,1,1,1,1,0.517841,0.517841
9,512443,0.226,0.805,0.805,1,1,1,1,1,1,1,0.57863,0.57863
10,408785.1,0.226,0.833,0.833,1,1,1,1,1,1,1,0.653316,0.653316
11,326095.3,0.226,0.909,0.909,1,1,1,1,1,1,1,0.745076,0.745076
12,260132.1,0.226,0.952,0.952,1,1,1,1,1,1,1,0.857813,0.857813
13,207512.1,0.226,0.938,0.938,1,1,1,1,1,1,1,0.996322,0.996322
14,165536.1,0.226,0.918,0.918,1,1,1,1,1,1,1,1.1665,1.1665
15,132051.2,0.226,0.982,0.982,1,1,1,1,1,1,1,1.37557,1.37557
