Age,M,Init.N,wt.age.pop.male,wt.age.pop.female,wt.age.pop.ave,mat.1,fish.sel.male1,fish.sel.female1,fish.sel.ave1,fish.sel.male2,fish.sel.female2,fish.sel.ave2,fish.sel.male3,fish.sel.female3,fish.sel.ave3,sur.sel,fish.caa.err,sur.caa.err,sel.pan
1,0.1,15.54,0.97,0.92,0.94,0.01,0,0,0,0.01,0,0.01,0,0.01,0.01,0,0.05,0.15,0.01
2,0.1,14.06,1.46,1.48,1.47,0.02,0.39,0,0.2,0.07,0.04,0.05,0,0.04,0.02,0,0.05,0.15,0.08
3,0.1,12.73,1.88,2.05,1.96,0.08,1,1,1,0.32,0.42,0.37,0,0.11,0.06,0.23,0.05,0.15,0.39
4,0.1,11.51,2.22,2.6,2.41,0.2,1,1,1,0.76,0.93,0.84,0.95,0.28,0.61,0.98,0.05,0.15,0.8
5,0.1,10.42,2.48,3.09,2.78,0.39,1,1,1,0.95,1,0.97,1,0.55,0.77,1,0.05,0.15,0.95
6,0.1,9.43,2.67,3.52,3.1,0.6,1,1,1,0.99,1,1,1,0.79,0.89,1,0.05,0.15,0.99
7,0.1,8.53,2.81,3.89,3.35,0.77,1,1,1,1,1,1,1,0.92,0.96,1,0.05,0.15,1
8,0.1,7.72,2.91,4.19,3.55,0.86,1,1,1,1,1,1,1,0.97,0.99,1,0.05,0.15,1
9,0.1,6.98,2.99,4.44,3.71,0.92,1,1,1,1,1,1,1,0.99,1,1,0.05,0.15,1
10,0.1,6.32,3.04,4.65,3.84,0.95,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
11,0.1,5.72,3.07,4.81,3.94,0.97,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
12,0.1,5.17,3.1,4.95,4.02,0.98,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
13,0.1,4.68,3.12,5.05,4.09,0.99,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
14,0.1,4.24,3.13,5.14,4.14,0.99,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
15,0.1,3.83,3.14,5.21,4.17,0.99,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
16,0.1,3.47,3.15,5.26,4.2,0.99,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
17,0.1,3.14,3.15,5.3,4.23,1,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
18,0.1,2.84,3.15,5.34,4.25,1,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
19,0.1,2.57,3.16,5.36,4.26,1,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
20,0.1,2.32,3.16,5.38,4.27,1,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
21,0.1,2.1,3.16,5.4,4.28,1,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
22,0.1,1.9,3.16,5.41,4.29,1,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
23,0.1,1.72,3.16,5.43,4.29,1,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
24,0.1,1.56,3.16,5.43,4.3,1,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
25,0.1,1.41,3.16,5.44,4.3,1,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
26,0.1,1.28,3.16,5.45,4.3,1,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
27,0.1,1.15,3.16,5.45,4.31,1,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
28,0.1,1.04,3.16,5.45,4.31,1,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
29,0.1,0.95,3.16,5.45,4.31,1,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
30,0.1,0.86,3.16,5.46,4.31,1,1,1,1,1,1,1,1,1,1,1,0.05,0.15,1
